,accommodates,Z_test_LIN_lt5c,Z_test_RF_lt5c,Z_test_GB_lt5c,Z_test_LIN_t07,Z_test_RF_t07,Z_test_GB_t07
0,1.0,0.3951225382273886,0.40538894874301484,0.34572942879271606,0.30295034717788494,0.133814789702338,0.1439036869163969
1,2.0,0.3627765449603646,0.3186834213970027,0.3049950339753232,0.3426733721875291,0.19420599794942803,0.2017616629468744
2,3.0,0.3050612282596955,0.2808233094971942,0.27217744813063166,0.35348567503580985,0.1089387111254399,0.11978608214423463
3,4.0,0.34758863498102405,0.32352746065558974,0.3078956535371255,0.3413791869629285,0.13239084077528443,0.14175331880930656
4,5.0,0.39707106055666525,0.3862587860843381,0.37240776030597394,0.35221044449282607,0.08393849857734086,0.08889778623706888
5,6.0,0.2829513475680222,0.25478713092866584,0.2600171923946057,0.30110375804262185,0.08369686512764343,0.09191500519970494
6,7.0,0.44986722712231936,0.41130534526915385,0.3494248925894165,0.23930526991822937,0.05953459818601503,0.068196860352005
7,8.0,0.25174666131288614,0.21049675821577854,0.22206558223114045,0.315921613928847,0.04338908217204889,0.04799655738953543
8,9.0,0.318560695166175,0.2516782698573653,0.2102835143123044,0.24661424850572464,0.05776685236237386,0.05797942472190664
9,10.0,0.12345965234697892,0.1598221188004425,0.10001964786999697,0.21401236541967436,0.024738806332556325,0.03088588827366096
10,11.0,,,,0.10261903389883173,0.0412928571428571,0.05229595327836819
11,12.0,0.17238332164714407,0.23147341406854707,0.2410366839160851,0.14571658154041023,0.06385496794871774,0.07169921171510203
12,13.0,,,,0.40444021834070837,0.006808390022675732,0.07832825074038126
13,14.0,3.4243251456037087,1.7059327795593144,1.0952345672740786,2.515425548769088,0.0,0.09082095497616845
